0,Qing Yi Shi,Leon Lai,203.38893,5237536
1,Getto Boys,Jack Orsen feat. Fumanschu_ Justus,210.54649,8001570
2,1000 Of Years Ago,Namatjira,291.63057,4390005
3,Wendy,Jesse Malin,261.17179,3994817
4,Eyes Of A Stranger (Album Version),P.O.D.,255.73832,1341788
5,Fried Neck Bones And Some Home Fries,Santana,433.37098,3293327
6,Sent By Angels,Arc Angels,344.05832,3505052
7,El troyano,Alfredo Gutiérrez,153.88689,4282058
8,Megaton B-Boy 2000 (LP Version),Handsome Boy Modeling School,297.66485,5670484
9,Crosses of crossed colors 3,Henri Pousseur,446.24934,2883958
10,The Plot To Bomb The Panhandle (Album Version),A Day To Remember,245.96853,2267935
11,Thriller,Fall Out Boy,203.54567,1492253
12,The White's Bedroom - Fire Escape,The Plasmatics,121.73016,2899853
13,The Line,The Small Knives,208.16934,5391124
14,Plastic People,Four Tet,393.84771,7846781
15,Revolution,Superchumbo,443.37587,2660367
16,The Yellow Rose Of Texas,Roy Rogers,152.97261,7432993
17,Mr. Goose,The Charms,42.68363,8773815
18,Would?,Alice In Chains,223.26812,5365772
19,Trapdoor,Chase & Status,398.54975,6043106
20,Salamanders In The Sun,Steve Vai,305.94567,3535653
21,Wie ein Eisbär sein,Geier Sturzflug,211.35628,5793779
22,Exit People,Fergie,440.18893,7784765
23,So Nice - Original,Leroy Hutson,324.25751,5195251
24,Mientras me quieras,Tranzas,213.7073,2611015
25,Alpha River,Eclier,322.19383,5459521
26,Skymning,Groupa Med Lena Willemark,227.89179,7175443
27,Te Quiero Mamma,Sergio Dalma,239.43791,2474688
28,Act Won (Things Fall Apart),The Roots,54.12526,143698
29,Goodbye Broadway_ Hello France,Billy Murray,176.5873,6682851
30,Down In The Jungle,Monster Magnet,289.12281,163569
31,Sister Seagull (Live),Be Bop Deluxe,221.93587,251446
32,Common sense,Winston McAnuff_ The Bazbaz Orchestra,225.04444,6131800
